GEN_BLD_YRS_1,GEN_BLD_YRS_2,BuildGen
PAIPA 1,1963,36.0
ZIPAEMG2,1964,36.0
PAIPA 2,1975,72.0
ZIPAEMG3,1976,63.0
BARRANQUILL3,1980,60.0
BARRANQUILL4,1980,60.0
CARTAGENA2,1980,60.0
CARTAGENA3,1980,66.0
H_SanJosMoII,1980,1.1
RIOGRANDE 1,1980,19.0
T_AutArCairo,1980,6.5
T_TermYopal1,1980,8.0
ZIPAEMG4,1981,64.0
PAIPA 3,1982,70.0
GUAJIRA1,1983,145.0
H_Ayura,1983,16.7
TASAJERO 1,1985,165.0
ZIPAEMG5,1985,63.0
GUAJIRA2,1987,130.0
SAN CARLOS,1987,1240.0
FLORES 1,1993,160.0
PROELECTRIC1,1993,45.0
PROELECTRIC2,1993,45.0
LA TASAJERA,1994,306.0
CARTAGENA1,1995,52.0
TERMODORADA1,1997,50.0
MERILECTRICA,1998,164.0
TEBSAB,1998,791.0
TERMOSIERRA,1998,433.0
PAIPA 4,1999,165.0
TERMOEMCALI,1999,229.0
CANDELARIA,2000,555.0
TERMOCENTRO,2000,272.0
PORCE II,2001,405.0
MIEL I,2002,396.0
PORCE III,2002,700.0
H_ElLimonar,2003,18.0
H_LAGUNETA,2014,18.0
TERMO YOPAL2,2004,28.0
FLORES4,2010,445.0
TERMOVALLE,2011,241.0
DARIO VALENC,2014,150.0
SALTO II,2014,35.0
EL QUIMBO,2015,400.0
TASAJERO 2,2015,170.0
TC_GECELCA3,2015,164.0
TC_GECELCA32,2018,270.0
TERMONORTE,2018,88.0
TERMOYOPALG3,2020,50.0
TERMOYOPALG4,2020,50.0
TERMOYOPALG5,2021,50.0
ELTESORITO,2022,200.0
H_RioCali,1925,1.8
H_SanCancio,1929,2.0
H_PaticoCab,1930,1.48
H_Asnazu,1934,0.45
H_Caracoli,2023,3.75
H_ElBosque,1935,2.28
H_Municipal,1935,1.4
H_Union,1935,0.7
H_Belmonte,1939,3.4
H_Ovejas,1939,0.8199999999999998
H_Nima,1942,6.7
H_Bayona,1943,0.6
H_Cascada,1954,3.0
H_CascadaAbe,2007,3.0
H_LasPalmas,1954,2.8
H_RioFrioI,1954,1.67
H_RioSapuye,1954,1.65
H_IquiraI,1955,4.32
H_CampestreC,1956,0.7
H_VentanaA,1957,2.5
H_VentanaB,1957,2.5
H_Mondomo,1958,0.75
H_Rio_Recio,1958,0.9840000000000002
H_RioBobo,1960,4.0
H_RioPalo,1960,1.44
ESMERALDA,1963,30.0
H_IquiraII,1965,1.38
H_LaPita,1965,1.42
CALIMA,1967,132.0
SANFRANCISCO,1969,135.0
PRADO,1973,51.0
H_Florida,1975,19.9
CHIVOR,1977,1000.0
GUATAPE,1980,560.0
H_AuresBajo,1980,19.4
H_Barrancas,1980,4.7
H_Cantayus,1980,4.32
H_Cauya,1980,1.51
H_Chorrera,1980,15.0
H_PalmasSanGil,1954,15.0
H_Cocuyo,1980,0.7
H_Coello,1980,1.2
H_ElEden,1980,19.9
H_ElMolino,1980,19.9
H_Frisolera,1980,0.47
H_Guaviomeno,1980,9.9
H_JuanGarcia,1980,4.52
H_LaRebusca,1980,0.7
H_Libertad,1980,1.2
H_LuzMaI,1980,19.6
H_LuzMaII,1980,19.6
H_Magallo,1980,5.7
H_MorroAzul,1980,19.9
H_Naveta,1980,4.8
H_Oibita,2023,19.9
H_Pocune,1980,1.0
H_Porce3Meno,1980,1.8
H_ProvidencI,1980,4.9
H_RioFrioTam,1980,1.0
H_RioMulato2,1980,7.34
H_RioNegro,1980,10.2
H_SanAndres2,1980,19.9
H_SanMatias,1980,19.9
H_SBartolome,2023,19.9
H_TuluaBajo,1980,19.9
H_Tunjita,1980,19.7
H_Violetas,1980,0.95
H_Zeus,1980,9.9
INSULA,1980,19.0
PRADO4,1980,5.0
TEQUEND1-4,1980,56.8
BETANIA,1987,540.0
JAGUAS,1988,170.0
PLAYAS,1988,207.0
H_Guacaica,1992,0.86
GUAVIO,1993,1250.0
H_Niquia,1993,19.0
H_Nuevoliba,1994,5.1
H_Silvia,1994,0.38
H_RioMayo,1995,19.8
H_Sajandi,1995,3.2
SALVAJINA,1995,315.0
CALDERAS,1996,19.9
H_RioFrioII,1996,10.0
H_America,1997,0.41
H_Pajarito,1999,13.2
H_Rumor,1999,2.5
H_Coconuco,2000,4.5
H_RioPiedras,2000,19.9
URRA,2000,338.0
H_Puente_Gui,2001,4.2
H_Sueva2,2002,6.0
CHARQUITO,2003,19.4
H_SanJose,2003,0.38
H_AutCemNare,2004,9.0
H_Herradura,2004,19.8
H_La_Vuelta,2004,11.6
H_Mirolindo,2004,3.75
H_Pastales,2004,0.7
H_SantaAna,2005,8.0
H_AguaFresca,2007,7.29
H_Amalfi,2007,0.81
H_CascadaAnt,2007,2.3
H_CascadaGra,2023,2.09
H_Bello,1997,0.35
H_Remedios,2007,0.75
H_RioGrande,2007,0.31
H_Urrao,2007,1.03
H_Inza,2009,0.75
H_Amaime,2010,19.17
H_Caruquia,2010,9.5
H_Currucucue,2010,1.25
H_Guanaquita,2010,9.5
H_SantaRita,2010,1.3
H_Santiago,2010,2.8
H_Barroso,2012,19.9
H_Montanitas,2012,19.9
H_SFrancisPu,2012,0.468
H_TuluaAlto,2012,19.9
AMOYA,2013,80.0
H_Suba,2013,2.6
H_Usaquen,2013,1.8
H_AutGold,2022,1.0
H_ElPopal,2014,19.9
SOGAMOSO,2014,819.0
C_LLERAS_R,2015,78.0
CUCUANA,2015,56.0
SNMIGUEL,2015,50.0
H_Alejandria,2016,15.0
S_SolBolivar,2018,8.06
S_Yumbo,2017,9.8
ESCUELAMINAS,2019,55.0
S_Cabelleros,2021,11.5
S_Montelibano,2022,9.9
S_Lanceros,2023,9.1
S_SanFelipe,2023,9.1
S_Cienaguero,2023,9.0
S_Yuma,2023,9.1
S_Tucanes,2022,9.9
S_Paila,2021,9.9
S_Aurora,2022,9.9
S_Cerrito,2021,11.5
S_Medin,2021,11.5
S_Sierpe,2021,19.9
S_Victoria_I,2023,21.9
S_Victoria_II,2023,21.9
S_Flandes,2023,21.9
S_BSLI,2020,19.9
S_BSLII,2021,19.9
S_BSLIII,2020,19.9
S_TierraLind,2023,9.9
S_Tolua,2023,19.9
ITUANGO,2022,1200.0
H_PAGUA,1986,600.0
H_GUATRON,1966,512.0
H_ALBAN,2000,427.0
S_Dulima,2023,21.9
S_Cauca,2022,0.3
S_Ferch2,2022,0.01
S_Salado,2023,0.1
S_AutJeans,2023,1.39
