TRANS_TIMEPOINTS_1,TRANS_TIMEPOINTS_2,TRANS_TIMEPOINTS_3,DispatchTx
Antioquia,Caribe,1,1055.0
Antioquia,Caribe,2,1055.0
Antioquia,Caribe,3,1055.0
Antioquia,Caribe,4,1055.0
Antioquia,Caribe,5,1055.0
Antioquia,Caribe,6,1055.0
Antioquia,Caribe,7,1055.0
Antioquia,Caribe,8,1055.0
Antioquia,Caribe,9,1055.0
Antioquia,Caribe,10,1055.0
Antioquia,Caribe,11,1055.0
Antioquia,Caribe,12,1055.0
Antioquia,Caribe,13,1055.0
Antioquia,Caribe,14,1055.0
Antioquia,Caribe,15,1055.0
Antioquia,Caribe,16,1055.0
Antioquia,Caribe,17,1055.0
Antioquia,Caribe,18,1055.0
Antioquia,Caribe,19,1055.0
Antioquia,Caribe,20,1055.0
Antioquia,Caribe,21,1055.0
Antioquia,Caribe,22,1055.0
Antioquia,Caribe,23,1055.0
Antioquia,Caribe,24,1055.0
Antioquia,Caribe,25,1055.0
Antioquia,Caribe,26,1055.0
Antioquia,Caribe,27,1055.0
Antioquia,Caribe,28,1055.0
Antioquia,Caribe,29,1055.0
Antioquia,Caribe,30,1055.0
Antioquia,Caribe,31,1055.0
Antioquia,Caribe,32,1055.0
Antioquia,Caribe,33,1055.0
Antioquia,Caribe,34,1055.0
Antioquia,Caribe,35,1055.0
Antioquia,Caribe,36,1055.0
Antioquia,Caribe,37,1055.0
Antioquia,Caribe,38,1055.0
Antioquia,Caribe,39,1055.0
Antioquia,Caribe,40,1055.0
Antioquia,Caribe,41,1055.0
Antioquia,Caribe,42,1055.0
Antioquia,Caribe,43,1055.0
Antioquia,Caribe,44,1055.0
Antioquia,Caribe,45,1055.0
Antioquia,Caribe,46,1055.0
Antioquia,Caribe,47,1055.0
Antioquia,Caribe,48,1055.0
Antioquia,Caribe,49,1055.0
Antioquia,Caribe,50,1055.0
Antioquia,Caribe,51,1055.0
Antioquia,Caribe,52,1055.0
Antioquia,Caribe,53,1055.0
Antioquia,Caribe,54,1055.0
Antioquia,Caribe,55,1055.0
Antioquia,Caribe,56,1055.0
Antioquia,Caribe,57,1055.0
Antioquia,Caribe,58,1055.0
Antioquia,Caribe,59,1055.0
Antioquia,Caribe,60,1055.0
Antioquia,Caribe,61,1055.0
Antioquia,Caribe,62,1055.0
Antioquia,Caribe,63,1055.0
Antioquia,Caribe,64,1055.0
Antioquia,Caribe,65,1055.0
Antioquia,Caribe,66,1055.0
Antioquia,Caribe,67,1055.0
Antioquia,Caribe,68,1055.0
Antioquia,Caribe,69,1055.0
Antioquia,Caribe,70,1055.0
Antioquia,Caribe,71,1055.0
Antioquia,Caribe,72,1055.0
Antioquia,Caribe,73,1055.0
Antioquia,Caribe,74,1055.0
Antioquia,Caribe,75,1055.0
Antioquia,Caribe,76,1055.0
Antioquia,Caribe,77,1055.0
Antioquia,Caribe,78,1055.0
Antioquia,Caribe,79,1055.0
Antioquia,Caribe,80,1055.0
Antioquia,Caribe,81,1055.0
Antioquia,Caribe,82,1055.0
Antioquia,Caribe,83,1055.0
Antioquia,Caribe,84,1055.0
Antioquia,Caribe,85,1055.0
Antioquia,Caribe,86,1055.0
Antioquia,Caribe,87,1055.0
Antioquia,Caribe,88,1055.0
Antioquia,Caribe,89,1055.0
Antioquia,Caribe,90,1055.0
Antioquia,Caribe,91,1055.0
Antioquia,Caribe,92,1055.0
Antioquia,Caribe,93,1055.0
Antioquia,Caribe,94,1055.0
Antioquia,Caribe,95,1055.0
Antioquia,Caribe,96,1055.0
Antioquia,Caribe,97,1055.0
Antioquia,Caribe,98,1055.0
Antioquia,Caribe,99,1055.0
Antioquia,Caribe,100,1055.0
Antioquia,Caribe,101,1055.0
Antioquia,Caribe,102,1055.0
Antioquia,Caribe,103,1055.0
Antioquia,Caribe,104,1055.0
Antioquia,Caribe,105,1055.0
Antioquia,Caribe,106,1055.0
Antioquia,Caribe,107,1055.0
Antioquia,Caribe,108,1055.0
Antioquia,Caribe,109,1055.0
Antioquia,Caribe,110,1055.0
Antioquia,Caribe,111,1055.0
Antioquia,Caribe,112,1055.0
Antioquia,Caribe,113,1055.0
Antioquia,Caribe,114,1055.0
Antioquia,Caribe,115,1055.0
Antioquia,Caribe,116,1055.0
Antioquia,Caribe,117,1055.0
Antioquia,Caribe,118,1055.0
Antioquia,Caribe,119,1055.0
Antioquia,Caribe,120,1055.0
Antioquia,Caribe,121,1055.0
Antioquia,Caribe,122,1055.0
Antioquia,Caribe,123,1055.0
Antioquia,Caribe,124,1055.0
Antioquia,Caribe,125,1055.0
Antioquia,Caribe,126,1055.0
Antioquia,Caribe,127,1055.0
Antioquia,Caribe,128,1055.0
Antioquia,Caribe,129,1055.0
Antioquia,Caribe,130,1055.0
Antioquia,Caribe,131,1055.0
Antioquia,Caribe,132,1055.0
Antioquia,Caribe,133,1055.0
Antioquia,Caribe,134,1055.0
Antioquia,Caribe,135,1055.0
Antioquia,Caribe,136,1055.0
Antioquia,Caribe,137,1055.0
Antioquia,Caribe,138,1055.0
Antioquia,Caribe,139,1055.0
Antioquia,Caribe,140,1055.0
Antioquia,Caribe,141,1055.0
Antioquia,Caribe,142,1055.0
Antioquia,Caribe,143,1055.0
Antioquia,Caribe,144,1055.0
Antioquia,Caribe,145,1055.0
Antioquia,Caribe,146,1055.0
Antioquia,Caribe,147,1055.0
Antioquia,Caribe,148,1055.0
Antioquia,Caribe,149,1055.0
Antioquia,Caribe,150,1055.0
Antioquia,Caribe,151,1055.0
Antioquia,Caribe,152,1055.0
Antioquia,Caribe,153,1055.0
Antioquia,Caribe,154,1055.0
Antioquia,Caribe,155,1055.0
Antioquia,Caribe,156,1055.0
Antioquia,Caribe,157,1055.0
Antioquia,Caribe,158,1055.0
Antioquia,Caribe,159,1055.0
Antioquia,Caribe,160,1055.0
Antioquia,Caribe,161,1055.0
Antioquia,Caribe,162,1055.0
Antioquia,Caribe,163,1055.0
Antioquia,Caribe,164,1055.0
Antioquia,Caribe,165,1055.0
Antioquia,Caribe,166,1055.0
Antioquia,Caribe,167,1055.0
Antioquia,Caribe,168,1055.0
Antioquia,Caribe,169,1055.0
Antioquia,Caribe,170,1055.0
Antioquia,Caribe,171,1055.0
